iter	Passed	Remaining
0	86	25837
1	149	22257
2	217	21559
3	286	21195
4	356	21031
5	402	19732
6	474	19869
7	541	19761
8	605	19573
9	675	19575
10	752	19774
11	796	19125
12	870	19215
13	941	19232
14	1008	19164
15	1077	19120
16	1151	19164
17	1218	19082
18	1287	19044
19	1355	18971
20	1429	18988
21	1473	18625
22	1542	18581
23	1613	18558
24	1671	18383
25	1714	18070
26	1770	17898
27	1837	17852
28	1914	17892
29	1981	17836
30	2051	17805
31	2120	17758
32	2192	17742
33	2261	17689
34	2317	17544
35	2385	17495
36	2461	17494
37	2530	17444
38	2601	17411
39	2671	17364
40	2748	17360
41	2799	17195
42	2816	16834
43	2858	16631
44	2926	16585
45	2997	16553
46	3067	16513
47	3133	16451
48	3206	16422
49	3229	16145
50	3298	16106
51	3365	16049
52	3384	15773
53	3452	15729
54	3527	15711
55	3543	15438
56	3612	15400
57	3685	15375
58	3739	15274
59	3795	15181
60	3867	15154
61	3944	15143
62	4001	15054
63	4073	15020
64	4141	14973
65	4175	14805
66	4245	14765
67	4289	14634
68	4358	14590
69	4428	14549
70	4505	14530
71	4574	14485
72	4641	14434
73	4709	14381
74	4785	14356
75	4852	14302
76	4922	14256
77	4993	14212
78	5033	14080
79	5102	14032
80	5134	13881
81	5202	13831
82	5231	13677
83	5307	13649
84	5375	13597
85	5442	13543
86	5512	13495
87	5585	13455
88	5653	13403
89	5724	13357
90	5794	13308
91	5866	13262
92	5936	13213
93	6005	13160
94	6074	13109
95	6151	13071
96	6222	13023
97	6280	12946
98	6339	12870
99	6411	12822
100	6483	12775
101	6553	12722
102	6621	12664
103	6695	12618
104	6764	12562
105	6832	12505
106	6901	12448
107	6971	12393
108	7040	12336
109	7108	12278
110	7174	12216
111	7250	12170
112	7323	12120
113	7389	12057
114	7440	11969
115	7504	11903
116	7574	11847
117	7642	11787
118	7714	11733
119	7790	11685
120	7856	11623
121	7924	11562
122	7993	11503
123	8070	11455
124	8137	11392
125	8209	11336
126	8276	11274
127	8348	11218
128	8419	11160
129	8493	11107
130	8546	11026
131	8602	10948
132	8668	10884
133	8739	10826
134	8812	10771
135	8887	10717
136	8957	10657
137	9026	10596
138	9099	10539
139	9169	10478
140	9239	10418
141	9308	10357
142	9379	10297
143	9448	10236
144	9516	10172
145	9589	10114
146	9662	10056
147	9718	9981
148	9771	9902
149	9840	9840
150	9911	9780
151	9983	9721
152	10054	9660
153	10124	9598
154	10193	9535
155	10265	9476
156	10333	9411
157	10403	9350
158	10471	9286
159	10546	9227
160	10614	9163
161	10682	9099
162	10753	9038
163	10848	8995
164	10907	8924
165	10967	8853
166	11035	8788
167	11104	8724
168	11173	8660
169	11242	8597
170	11310	8532
171	11381	8470
172	11453	8407
173	11520	8342
174	11589	8278
175	11659	8214
176	11728	8150
177	11797	8085
178	11869	8023
179	11942	7961
180	11997	7888
181	12057	7817
182	12123	7751
183	12199	7690
184	12268	7626
185	12337	7561
186	12404	7495
187	12477	7433
188	12548	7369
189	12617	7304
190	12677	7234
191	12748	7171
192	12816	7105
193	12885	7040
194	12956	6976
195	13029	6913
196	13102	6850
197	13164	6781
198	13219	6709
199	13294	6647
200	13364	6582
201	13432	6516
202	13500	6450
203	13578	6389
204	13652	6326
205	13719	6260
206	13787	6194
207	13857	6129
208	13928	6064
209	13997	5998
210	14066	5933
211	14139	5869
212	14209	5803
213	14282	5739
214	14344	5671
215	14412	5605
216	14480	5538
217	14549	5472
218	14619	5407
219	14691	5342
220	14759	5275
221	14835	5212
222	14902	5145
223	14973	5080
224	15037	5012
225	15105	4945
226	15176	4880
227	15252	4816
228	15321	4750
229	15393	4685
230	15464	4619
231	15513	4547
232	15569	4476
233	15637	4410
234	15705	4344
235	15787	4281
236	15856	4215
237	15924	4148
238	15995	4082
239	16071	4017
240	16138	3950
241	16208	3884
242	16278	3818
243	16351	3752
244	16421	3686
245	16490	3619
246	16566	3554
247	16623	3485
248	16672	3414
249	16738	3347
250	16812	3282
251	16884	3216
252	16956	3150
253	17028	3083
254	17100	3017
255	17176	2952
256	17243	2885
257	17311	2818
258	17386	2752
259	17462	2686
260	17528	2619
261	17602	2552
262	17678	2487
263	17754	2421
264	17799	2350
265	17859	2282
266	17932	2216
267	18014	2151
268	18087	2084
269	18156	2017
270	18229	1950
271	18302	1884
272	18369	1816
273	18451	1750
274	18518	1683
275	18591	1616
276	18662	1549
277	18732	1482
278	18806	1415
279	18874	1348
280	18929	1279
281	18989	1212
282	19059	1144
283	19138	1078
284	19217	1011
285	19287	944
286	19355	876
287	19429	809
288	19499	742
289	19573	674
290	19640	607
291	19717	540
292	19787	472
293	19849	405
294	19925	337
295	19986	270
296	20046	202
297	20098	134
298	20148	67
299	20203	0
